Sleep On, Date, Hour, Real (out), Imaginary (out)
0,Apr 01 - 2018,20:18,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:21,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:24,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:27,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:30,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:33,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:36,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:39,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:42,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:45,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:48,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:51,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:54,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:57,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:00,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:03,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:06,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:09,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:12,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:15,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:18,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:21,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:24,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:27,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:30,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:33,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:36,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:39,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:42,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:45,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:48,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:51,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:54,0.0000000000,0.0000000000
0,Apr 01 - 2018,21:57,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:00,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:03,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:06,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:09,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:12,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:15,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:18,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:21,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:24,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:27,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:30,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:33,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:36,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:39,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:42,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:45,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:48,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:51,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:54,0.0000000000,0.0000000000
0,Apr 01 - 2018,22:57,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:00,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:03,0.0000000000,0.0000000000
